oligo_tag,timepoint,fake,Size_Factor,batch,sample,temp,pseudostage,umap_1,umap_2
reference-44-GAP18-44hpf_P2_D3,44,FALSE,0.513920368713455,GAP18,GAP18,28C,34.83721535894,-3.57935326650462,13.3437876326842
reference-42-GAP18-42hpf_P10_C7,42,FALSE,0.68954063859755,GAP18,GAP18,28C,26.1149021794182,-6.40466731145701,5.30603214333487
reference-42-GAP18-42hpf_P10_H10,42,FALSE,0.757940112131355,GAP18,GAP18,28C,32.2479414896913,-4.65401738241038,11.1080822570128
reference-42-GAP18-42hpf_P10_H11,42,FALSE,0.637778874842237,GAP18,GAP18,28C,30.1334007310888,-5.81478398397288,8.93887086937857
reference-42-GAP18-42hpf_P10_D7,42,FALSE,0.929863113175784,GAP18,GAP18,28C,29.8852981209217,-5.65209286763987,8.67246194909048
reference-42-GAP18-42hpf_P10_F7,42,FALSE,0.676600197658721,GAP18,GAP18,28C,27.2932975449423,-6.59990733220896,5.57749076912833
reference-46-GAP18-46hpf_P2_F8,46,FALSE,0.89843632803863,GAP18,GAP18,28C,35.7460547607931,-3.27430861547312,12.1310257537169
reference-44-GAP18-44hpf_P2_G6,44,FALSE,0.708026982795875,GAP18,GAP18,28C,32.0418845979735,-5.73154252126536,9.46104570458365
reference-44-GAP18-44hpf_P2_A6,44,FALSE,0.412245475622664,GAP18,GAP18,28C,32.0953311575889,-5.12139266088328,11.2131075484557
reference-40-GAP18-40hpf_P10_F4,40,FALSE,0.571228035728265,GAP18,GAP18,28C,29.7998139646314,-6.01447003438792,8.66682954857779
reference-42-GAP18-42hpf_P10_A9,42,FALSE,0.870706811741142,GAP18,GAP18,28C,29.8857124102701,-5.90915387227854,8.73391767571402
reference-44-GAP18-44hpf_P2_C3,44,FALSE,0.683994735338052,GAP18,GAP18,28C,30.2547805524189,-6.1756600673469,8.85825487206412
